531284162323970368.000000 0.033633 0.033633 0.000000 0.000000 1
0.326931 0.369128 0.368815 0.000000 0.000313 1
0.444247 0.364453 0.109951 0.000000 0.000003 1
0.661850 1.807367 0.057902 0.000000 0.000000 1
123.201526 0.000000 0.064527 0.000000 0.000000 1
131.581736 0.000000 0.060775 0.000000 0.000000 1
113.307225 0.000000 0.063144 0.000000 0.000000 1
136.133020 0.000000 0.066051 0.000000 0.000000 1
124.325869 0.000000 0.029190 0.000000 0.000000 1
112.392088 0.000000 0.161378 0.878007 0.016102 2
1.077795 2.191984 0.085299 0.274922 0.000301 2
111.659744 0.000000 0.158246 0.506387 0.000154 2
136.811226 0.000000 0.148653 0.475691 0.000009 2
107.376650 0.000000 0.143946 0.460627 0.000012 2
124.924006 0.000000 0.143455 0.459055 0.000015 2
1.421215 0.612150 0.145750 0.466400 0.000000 2
128.582741 0.000000 0.141235 0.451953 0.000000 2
1.760286 1.089337 0.118131 0.378018 0.000000 2
135.490980 0.000000 0.079064 0.253004 0.000000 2
2.634719 0.508708 0.042057 0.134583 0.000000 2
3.198199 0.078250 0.018631 0.059619 0.000000 2
120.515652 0.000000 0.007269 0.023262 0.000000 2
4.761709 0.041476 0.002606 0.008338 0.000000 2
4.204525 0.003697 0.000880 0.002817 0.000000 2
4.910655 0.001194 0.000284 0.000910 0.000000 2
5.768002 0.000372 0.000089 0.000283 0.000000 2
6.816367 0.000112 0.000027 0.000086 0.000000 2
8.108095 0.000033 0.000008 0.000025 0.000000 2
9.712739 0.000010 0.000002 0.000007 0.000000 2
11.723716 0.000003 0.000001 0.000002 0.000000 2

689695525400372352.000000 0.132230 0.132224 0.000000 0.000006 1
0.018262 9.636318 7.692021 0.000000 0.698661 1
112.942138 0.000000 0.902878 0.000000 0.000093 1
0.044670 54.889163 0.955964 0.000000 0.000105 1
0.037583 14.155892 1.333831 0.000000 0.000347 1
111.679960 0.000000 0.342658 0.000000 0.000007 1
103.342488 0.000000 0.753438 0.000000 0.000026 1
126.140386 0.000000 1.441562 4.305134 0.948852 2
107.519694 0.000000 0.682920 3.287447 0.373607 2
0.040000 18.322117 1.741937 7.035939 9.544241 3
0.040000 16.492779 1.670628 5.390847 9.431303 3
107.680224 0.000000 1.833928 5.944346 41.810846 3
0.076422 93.446474 2.164231 6.961744 84.320499 3
2.847240 6.504282 1.389205 4.445455 0.669623 2
3.862460 1.675253 0.398870 1.276384 0.000000 2
5.073324 0.311666 0.074206 0.237460 0.000000 2
6.715354 0.042034 0.010008 0.032026 0.000000 2
9.036693 0.004736 0.001128 0.003608 0.000000 2
12.399809 0.000468 0.000111 0.000357 0.000000 2
124.712231 0.000000 0.117301 0.000276 0.000000 1
134.083289 0.000000 0.180685 0.000000 0.000000 1
0.058089 1.331191 0.288842 0.000000 0.000001 1
116.558748 0.000000 1.275919 0.000000 0.000243 1
141.684107 0.000000 0.402804 0.000000 0.000001 1
126.048003 0.000000 0.206806 0.000000 0.000000 1
126.306164 0.000000 0.081616 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.003268 0.003267 0.000002 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
121.216794 0.000000 0.123906 1.229948 0.007111 2
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
110.478115 0.000000 1.030503 0.000000 0.011845 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.268199 0.000000 0.000000 0.000000 0.000000 1
0.720523 0.308406 0.070221 0.238020 0.000165 2
133.589208 0.000000 0.110190 0.000000 0.000000 1
115.536943 0.000000 0.705889 0.000000 0.000005 1
119.288472 0.000000 0.748202 0.000000 0.000043 1
141.417736 0.000000 0.181757 0.000000 0.000000 1
0.493510 0.001272 0.000328 0.000944 0.000000 2
0.491382 0.000000 0.000000 0.000000 0.000000 1
0.490839 0.000001 0.000001 0.000001 0.000000 2
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.491178 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
0.040000 0.000000 0.000000 0.000000 0.000000 1
